dataset,n_rows,n_links,pct_rows,pct_pairs
OULAD,31482,2393,15.202337843847278,62.49673544006268
Bank,4521,280,12.386640123866401,51.09489051094891
Student,1044,64,12.260536398467433,53.78151260504202
BPIC,15545,826,10.62721132196848,36.792873051224944
Credit,30000,1538,10.253333333333334,60.31372549019608
German,1000,47,9.4,54.02298850574713
Adult,45222,2055,9.088496749369776,35.75778667130677
COMPAS,6055,196,6.473988439306359,62.61980830670927
PBCseq,1863,55,5.904455179817498,27.36318407960199
QSAR,1055,28,5.308056872037914,20.28985507246377
Yeast,2417,61,5.047579644187008,39.354838709677416
Law,18692,385,4.119409372993794,16.580534022394488
Churn,5000,90,3.6,24.725274725274726
